# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.6577   0.6120   0.0829   Upper   B1 v -> Y v    u_account_balance/g4306
0.7413   0.6120   0.0843   Upper   A0 v -> Y v    u_account_balance/g4306
0.6475   0.6120   0.0886   Upper   B1 v -> Y v    u_account_balance/g4304
0.7413   0.6120   0.0909   Upper   A0 v -> Y v    u_account_balance/g4304
0.7413   0.6120   0.0820   Upper   A0 v -> Y v    u_account_balance/g4302
0.7650   0.6120   0.2668   Upper   A1 v -> Y ^    u_account_balance/g4303
0.7650   0.6120   0.2750   Upper   A1 v -> Y ^    u_account_balance/g4291
0.7650   0.6120   0.2645   Upper   A1 v -> Y ^    u_account_balance/g4290
0.7650   0.6120   0.2704   Upper   A1 v -> Y ^    u_account_balance/g4288
0.7650   0.6120   0.2668   Upper   A1 v -> Y ^    u_account_balance/g4287
0.7650   0.6120   0.2765   Upper   A1 v -> Y ^    u_account_balance/g4286
0.7650   0.6120   0.2732   Upper   A1 v -> Y ^    u_account_balance/g4284
0.0033   0.0168   0.0705   Lower   AN v -> Y v    u_account_balance/g13470
